electricVehicleType,brand,series,modelVariant,canonicalCategory,canonicalSubcategory,canonicalBrandId,canonicalSeriesId,canonicalVariantId,canonicalExists,fuelType,action,source,confidence
elektrikli-otomobil,BMW,i5,i5,arac/otomobil,,cmshtjhqn0001uz6s33iayix4,,,false,ELECTRIC,CREATE_CANONICAL_SERIES+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-otomobil,BMW,i7,i7,arac/otomobil,,cmshtjhqn0001uz6s33iayix4,,,false,ELECTRIC,CREATE_CANONICAL_SERIES+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-suv-pickup,BMW,iX,iX,arac/arazi-suv-pickup,,cmshtjhqn0001uz6s33iayix4,cmsi3841w018muzbglnc89ave,,true,ELECTRIC,LINK_EXISTING_CANONICAL+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-suv-pickup,BMW,iX1,iX1,arac/arazi-suv-pickup,,cmshtjhqn0001uz6s33iayix4,cmsi38423018ouzbgx30jbmyf,,true,ELECTRIC,LINK_EXISTING_CANONICAL+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-suv-pickup,BMW,iX2,iX2,arac/arazi-suv-pickup,,cmshtjhqn0001uz6s33iayix4,cmsi3842a018quzbg6ht67e9b,,true,ELECTRIC,LINK_EXISTING_CANONICAL+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-suv-pickup,BMW,iX3,iX3,arac/arazi-suv-pickup,,cmshtjhqn0001uz6s33iayix4,cmsi3842i018suzbglk9bkomk,,true,ELECTRIC,LINK_EXISTING_CANONICAL+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-suv-pickup,BYD,Atto 3,Atto 3,arac/arazi-suv-pickup,,cmshvhmsy0002uza8qaxheiih,cmsi37zw900beuzbg95ma30n2,,true,ELECTRIC,LINK_EXISTING_CANONICAL+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-otomobil,BYD,Dolphin,Dolphin,arac/otomobil,,cmshvhmsy0002uza8qaxheiih,cmshvhng0001iuza8oqruu7r1,,true,ELECTRIC,LINK_EXISTING_CANONICAL+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-otomobil,BYD,Han,Han,arac/otomobil,,cmshvhmsy0002uza8qaxheiih,cmsi37zwh00bguzbg51rqsub6,,true,ELECTRIC,LINK_EXISTING_CANONICAL+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-otomobil,BYD,Seal,Seal,arac/otomobil,,cmshvhmsy0002uza8qaxheiih,cmshvhnf7001guza8hk2s3g3s,,true,ELECTRIC,LINK_EXISTING_CANONICAL+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-suv-pickup,BYD,Seal U,Seal U,arac/arazi-suv-pickup,,cmshvhmsy0002uza8qaxheiih,cmsi37zwx00bkuzbg8nwju97l,,true,ELECTRIC,LINK_EXISTING_CANONICAL+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
