sourceCategoryId,sourceName,sourcePath,targetCategoryPath,assignmentRule,autoAssignable,manualReviewRequired,affectedListingCount,affectedProductCount,affectedSellerOfferCount,affectedBrandLinks,affectedAttributeLinks,affectedModelLinks,riskLevel,notes
cmsg3xg1y0013uzdcn3no2nil,Şarj & Powerbank,sifir-urun/elektronik/telefon-ve-aksesuar/cep-telefonu/sarj-powerbank,Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Şarj Adaptörü,title keyword: powerbank|şarj|adaptör,false,true,0,0,0,30,7,0,HIGH,title keyword: powerbank|şarj|adaptör
cmsg3xg1y0013uzdcn3no2nil,Şarj & Powerbank,sifir-urun/elektronik/telefon-ve-aksesuar/cep-telefonu/sarj-powerbank,Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Powerbank,title keyword: powerbank|şarj|adaptör,false,true,0,0,0,30,7,0,HIGH,title keyword: powerbank|şarj|adaptör
cmsg3xgfp002puzdcg7jmoiov,Yazıcı & Tarayıcı,sifir-urun/elektronik/bilgisayar-ve-tablet/bilgisayar/yazici-tarayici,Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Yazıcı,title keyword: yazıcı|tarayıcı|scanner,false,true,0,0,0,24,5,0,HIGH,title keyword: yazıcı|tarayıcı|scanner
cmsg3xgfp002puzdcg7jmoiov,Yazıcı & Tarayıcı,sifir-urun/elektronik/bilgisayar-ve-tablet/bilgisayar/yazici-tarayici,Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Tarayıcı,title keyword: yazıcı|tarayıcı|scanner,false,true,0,0,0,24,5,0,HIGH,title keyword: yazıcı|tarayıcı|scanner
cms93j5l8001xuz3gsasrgk49,Cep Telefonu & Aksesuar,sifir-urun/elektronik/telefon-ve-aksesuar/cep-telefonu,Elektronik › Telefon ve Aksesuar › Cep Telefonu,split group: phones vs accessories by title/attrs,false,true,1,0,0,30,7,58,CRITICAL,split group: phones vs accessories by title/attrs
cms93j5l8001xuz3gsasrgk49,Cep Telefonu & Aksesuar,sifir-urun/elektronik/telefon-ve-aksesuar/cep-telefonu,Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları,split group: phones vs accessories by title/attrs,false,true,1,0,0,30,7,58,CRITICAL,split group: phones vs accessories by title/attrs
