oldSlug,oldPath,oldCategoryId,targetCategoryId,targetPath,redirectType,reason,preserveSeo,active,notes
sifir-urun-yiyecek-icecek,sifir-urun/sifir-urun-yiyecek-icecek,cms93j5q50039uz3gnhdqjrvs,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-is-makinesi,sifir-urun/sifir-urun-is-makinesi,cmsdkecae003huzyc6uys6m47,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-tarim-makinesi,sifir-urun/sifir-urun-tarim-makinesi,cmsdkecak003juzycjc0pp98j,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-ev-elektronigi,sifir-urun/sifir-urun-ev-elektronigi,cms93j5ma0029uz3gdtgnknvu,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-saat-taki,sifir-urun/sifir-urun-saat-taki,cms93j5nj002luz3g1ovcvwie,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-kisisel-bakim,sifir-urun/sifir-urun-kisisel-bakim,cms93j5nq002nuz3g1h9mrras,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-anne-bebek,sifir-urun/sifir-urun-anne-bebek,cms93j5ny002puz3ghofscas0,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-bahce-yapi-market,sifir-urun/sifir-urun-bahce-yapi-market,cms93j5oc002tuz3gqj1lq1rr,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-cep-telefonu,sifir-urun/elektronik/telefon-ve-aksesuar/cep-telefonu,cms93j5l8001xuz3gsasrgk49,,Elektronik › Telefon ve Aksesuar › Cep Telefonu | Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları,MANUAL_REVIEW,split group: phones vs accessories by title/attrs,true,true,SPLIT
sifir-urun-hobi-oyuncak,sifir-urun/sifir-urun-hobi-oyuncak,cms93j5or002xuz3gee4atdma,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-kitap-dergi-film,sifir-urun/sifir-urun-kitap-dergi-film,cms93j5oz002zuz3gnhm3q5gn,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-sanayi-makinesi,sifir-urun/sifir-urun-sanayi-makinesi,cmsdkecar003luzyc7d1wqrb7,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-diger-alisveris,sifir-urun/sifir-urun-diger-alisveris,cms93j5qc003buz3g50apc5vu,,,INTERNAL_ALIAS,Diğer Her Şey — ARCHIVE or MANUAL_REVIEW,true,true,ARCHIVE
sifir-urun-tablet__tablet-aksesuar,sifir-urun/elektronik/bilgisayar-ve-tablet/tablet/tablet-aksesuar,cmsg3xgj80037uzdcbfpvakj4,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-beyaz-esya__firin-ocak,sifir-urun/ev-aletleri/beyaz-esya/beyaz-esya/firin-ocak,cmsg3xguk0057uzdckk84z04k,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-beyaz-esya__kombi-termosifon,sifir-urun/ev-aletleri/beyaz-esya/beyaz-esya/kombi-termosifon,cmsg3xgv7005duzdc7yd6gsvx,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-beyaz-esya__diger-beyaz-esya,sifir-urun/ev-aletleri/beyaz-esya/beyaz-esya/diger-beyaz-esya,cmsg3xgve005fuzdcqx1ux0ep,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-beyaz-esya__tek-kapili,sifir-urun/ev-aletleri/beyaz-esya/beyaz-esya/tek-kapili,cmsg3xgvm005huzdcjd0j97tj,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-beyaz-esya__cift-kapili,sifir-urun/ev-aletleri/beyaz-esya/beyaz-esya/cift-kapili,cmsg3xgvz005juzdc4tdlnfvm,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
